City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,charters towers,-20.1,146.2667,22.08,72,15,3.64,AU,1711837725
83,tabou,4.423,-7.3528,26.82,87,100,2.09,CI,1711837757
84,luderitz,-26.6481,15.1594,16.55,89,17,0.6,NA,1711837757
85,karystos,38.0133,24.4161,19.68,49,58,1.34,GR,1711837757
86,dudinka,69.4058,86.1778,-11.85,97,100,1.79,RU,1711837757
87,whitehorse,60.7161,-135.0538,5.43,48,75,8.75,CA,1711837360
88,ilebo,-4.3167,20.5833,22.89,93,100,0.81,CD,1711837758
89,albany,42.6001,-73.9662,10.93,44,54,1.34,US,1711837591
90,kralendijk,12.15,-68.2667,27.99,61,40,5.66,BQ,1711837758
91,vorgashor,67.5833,63.95,-21.28,99,99,3.22,RU,1711837758
92,wailua homesteads,22.0669,-159.378,23.75,77,75,7.2,US,1711837758
93,zhangatas,43.5667,69.75,1.78,65,34,0.98,KZ,1711837758
94,happy valley-goose bay,53.3168,-60.3315,3.17,81,100,4.12,CA,1711837649
95,labuan bajo,-8.4964,119.8877,25.67,89,58,1.58,ID,1711837759
96,saint-joseph,-21.3667,55.6167,24.21,81,100,1.53,RE,1711837759
97,kuqa,41.7278,82.9364,15.15,26,100,5.1,CN,1711837759
98,freetown,8.484,-13.2299,25.68,75,76,4.54,SL,1711837759
99,ushuaia,-54.8,-68.3,5.81,61,0,9.26,AR,1711837728
100,krupka,50.6845,13.8582,14.45,57,54,5.36,CZ,1711837759
101,crane,31.3974,-102.3501,28.54,10,100,1.42,US,1711837760
102,punta arenas,-53.15,-70.9167,7.06,70,75,7.2,CL,1711837232
103,port blair,11.6667,92.75,27.43,72,18,1.48,IN,1711837760
104,dinghaicun,26.2847,119.7936,20.51,100,100,1.97,CN,1711837760
105,tolanaro,-25.0319,46.9987,24.04,94,40,0.0,MG,1711837760
106,blackmans bay,-43.0167,147.3167,14.07,91,100,0.89,AU,1711837761
107,pisco,-13.7,-76.2167,26.03,69,0,8.75,PE,1711837761
108,eastham,41.8301,-69.9739,11.65,59,0,5.66,US,1711837761
109,magadan,59.5667,150.8,-3.2,74,100,3.17,RU,1711837761
110,puerto baquerizo moreno,-0.9,-89.6,26.55,78,20,3.09,EC,1711837761
111,tommot,58.9564,126.2925,-20.12,98,100,0.83,RU,1711837761
112,urengoy,65.9667,78.3667,-11.26,94,100,6.68,RU,1711837761
113,ta`u,-14.2336,-169.5144,29.15,76,95,5.35,AS,1711837762
114,sussex,41.1834,-74.6663,14.49,31,100,2.06,US,1711837762
115,weno,7.4515,151.8468,27.97,94,75,5.14,FM,1711837762
116,wuwei,37.9281,102.6414,10.98,28,2,1.59,CN,1711837762
117,haiku-pauwela,20.9219,-156.3051,26.23,67,40,10.29,US,1711837762
118,utrik,11.2278,169.8474,26.98,81,34,9.56,MH,1711837763
119,invercargill,-46.4,168.35,10.57,96,85,0.89,NZ,1711837763
120,sainte-anne-des-monts,49.124,-66.4924,-2.07,100,100,16.46,CA,1711837763
121,batumi,41.6416,41.6359,13.99,62,0,6.17,GE,1711837763
122,iskateley,67.6803,53.1512,-15.55,93,61,3.13,RU,1711837763
123,kabinda,-6.1333,24.4833,21.44,90,92,0.72,CD,1711837764
124,lihue,21.9789,-159.3672,24.09,77,75,7.2,US,1711837748
125,kivsharivka,49.6213,37.7036,11.01,63,95,3.37,UA,1711837764
126,christchurch,-43.5333,172.6333,13.63,80,100,1.54,NZ,1711837646
127,mana,5.6592,-53.7767,26.85,84,99,4.13,GF,1711837764
128,rock falls,41.7798,-89.689,16.99,62,40,4.12,US,1711837764
129,wanning,18.8003,110.3967,24.71,93,2,4.96,CN,1711837764
